,product,category,sub_category,brand,sale_price,market_price,image_url,p_url,type,eancode,rating,description
4239,Cookies N Creme Bar,Snacks & Branded Foods,Chocolates & Candies,Hersheys ,52.8,60.0,https://www.bigbasket.com/media/uploads/p/mm/40185849_1-hersheys-cookies-n-creme-bar.jpg,https://www.bigbasket.com/pd/40185849/hersheys-cookies-n-creme-bar-40-g/,Chocolates,Invalid Code,4.1,"Hershey's Cookies N Cr¨me Bars come with the perfect blend of cookies and creme. These wholesome, tasty and delicious bars offer a delectable taste in every bite to satisfy your sweet urges."
4240,Choco Deck - Mini Delights,Snacks & Branded Foods,Chocolates & Candies,Fabelle,160.0,200.0,https://www.bigbasket.com/media/uploads/p/mm/40185197_2-fabelle-choco-deck-mini-delights.jpg,https://www.bigbasket.com/pd/40185197/fabelle-choco-deck-mini-delights-163-g/,Chocolates,Invalid Code,4.4,"Fabelle brings you Fabelle Choco Deck – Mini Delights, a pack of mini Milk Chocolate bars that will impress everyone, regardless of age. Perfect for gifting, it will make moments of celebration and bonding with friends and family even more special. Each bar is made of a layer of rich choco creme cradled between two layers of Milk Chocolate.
Experience an explosion of chocolate in your mouth as you first taste the sweetness from milk chocolate followed by the richness from the choco crème. Handcrafted by the Master Chocolatiers from the House of ITC, Fabelle gives you a dessert like an experience in a chocolate bar. Finding the perfect gift can be tricky so when in doubt, gift chocolate!"
4241,Wave Xylitol Sugarfree Mint Flavour Bubble Gum - Pocket Bottle,Snacks & Branded Foods,Chocolates & Candies,Happydent ,46.0,50.0,https://www.bigbasket.com/media/uploads/p/mm/40016430_9-happydent-wave-xylitol-sugarfree-mint-flavour-bubble-gum-pocket-bottle.jpg,https://www.bigbasket.com/pd/40016430/happydent-wave-xylitol-sugarfree-mint-flavour-bubble-gum-pocket-bottle-306-g-pocket-bottle/,Mints & Chewing Gum,Invalid Code,4.2,"Happydent Wave Xylitol is a sugar-free coated bubble gum, for healthy and bright teeth. Happydent Wave has a pleasant mint flavoured liquid filling in the centre. The smooth and refreshing flavour of sugar-free Happydent provides instant cool breath and a perfectly clean mouth that prepares you to make the most of the moment. The easy to carry, pocket bottle pack allows you to enjoy the crisp, smooth flavour with fewer calories, anywhere. Keep a pack in the pocket, car, or a drawer for instant minty refreshment anytime Happydent is a globally renowned brand, enjoyed by millions of people around the world. Whether it’s the icy cool taste of traditional mint, or something fun and fruity, you can always count on a clean and refreshing feeling of Happydent. Grab your pack now and impress everyone with your sparkling smiles! *Contains Aspartame and Polyols that may have laxative effects."
4242,Orange Candy,Snacks & Branded Foods,Chocolates & Candies,SDA CANDYS,35.0,35.0,https://www.bigbasket.com/media/uploads/p/mm/40185560_1-sda-candys-orange-candy.jpg,https://www.bigbasket.com/pd/40185560/sda-candys-orange-candy-150-g/,"Toffee, Candy & Lollypop",Invalid Code,4.0,"Try these delicious Orange Candies from SDA Candys, and delight your taste buds. Carry it wherever you go and enjoy the great taste anytime anywhere."
4243,Gold Caramel Candy Stick,Snacks & Branded Foods,Chocolates & Candies,ALPENLIEBE,16.0,20.0,https://www.bigbasket.com/media/uploads/p/mm/40094206_10-alpenliebe-gold-caramel-candy-stick.jpg,https://www.bigbasket.com/pd/40094206/alpenliebe-gold-caramel-candy-stick-36-g/,"Toffee, Candy & Lollypop",Invalid Code,4.2,"Your trusted brand, Alpenliebe is known for its exceptionally smooth and creamy, melt-in-your-mouth qualities. Full of milky richness, Alpenliebe Gold is a fun-filled candy to have at any time of the day. Show your loved ones how much they mean to you by sharing Alpenliebe candies with them Alpenliebe – bring hearts closer."
4244,"Madagascar Noir De Cacao, Single Origin Dark Chocolate - 55% Dark",Snacks & Branded Foods,Chocolates & Candies,Amul,140.0,150.0,https://www.bigbasket.com/media/uploads/p/mm/40122073_5-amul-madagascar-noir-de-cacao-single-origin-dark-chocolate-55-dark.jpg,https://www.bigbasket.com/pd/40122073/amul-madagascar-noir-de-cacao-single-origin-dark-chocolate-55-dark-125-g/,Chocolates,8901260071321,4.1,"Amul dark chocolate made using high quality cocoa from Madagascar, home to the native Lemur, gives this chocolate its distinctive delicious taste. Lose yourself in a world of nutty, fruity flavors, tinged with a sweet and acidic twist."
4245,"Juzt Jelly - Assorted Flavour, Birthday Pack",Snacks & Branded Foods,Chocolates & Candies,ALPENLIEBE,75.0,75.0,https://www.bigbasket.com/media/uploads/p/mm/40191237_4-alpenliebe-juzt-jelly-assorted-flavour-birthday-pack.jpg,https://www.bigbasket.com/pd/40191237/alpenliebe-juzt-jelly-assorted-flavour-birthday-pack-259-g-pouch/,"Toffee, Candy & Lollypop",Invalid Code,4.3,Dive into our jellyful world of Alpenliebe Juzt Jelly which offers a delectable range of juicy and pulpy jellies with unique shapes and flavours. These mouth-watering jellies will satisfy your family with their delightful taste. Use our lip-smacking flavours of Alpenliebe Juzt Jelly to discover your own taste of paradise.
4246,Choco Deck Chocolate - Fruit & Nut,Snacks & Branded Foods,Chocolates & Candies,Fabelle,128.0,160.0,https://www.bigbasket.com/media/uploads/p/mm/40153797_4-fabelle-choco-deck-chocolate-fruit-nut.jpg,https://www.bigbasket.com/pd/40153797/fabelle-choco-deck-chocolate-fruit-nut-126-g/,Chocolates,Invalid Code,4.2,"An ultimate guilty pleasure and worth every ounce of it, Fabelle Choco Deck – Fruit and Nut will leave you wanting for more. Inspired by layered desserts, this premium chocolate bar hides a multi-layered treat within its pack. Tear open the pack to reveal a unique 3-layered chocolate bar; a layer of soft choco crème with bits of fruit and nuts nestled between the 2 layers of rich milk chocolate. Bite into the chocolate and step into a magical realm where the sweetness of milk chocolate, the silkiness of choco crème and the crunchiness of fruit and nuts wreak havoc on your taste buds.
Handcrafted by the Master Chocolatiers from the House of ITC in India. Relax & unwind with a dessert-like experience in a chocolate bar. Gift your loved ones this beautifully packaged premium layered fruit & nut chocolate to make the occasion even more special.  Irrespective of the time, mood or occasion, this premium chocolate bar will always lift everyone’s spirits."
4247,Soft Centres Chocolate - Almond Mousse,Snacks & Branded Foods,Chocolates & Candies,Fabelle,76.0,80.0,https://www.bigbasket.com/media/uploads/p/mm/40153800_7-fabelle-soft-centres-chocolate-almond-mousse.jpg,https://www.bigbasket.com/pd/40153800/fabelle-soft-centres-chocolate-almond-mousse-58-g/,Chocolates,Invalid Code,4.5,"Bite into the delectable milk chocolate shells to discover the flavor of almond mousse and roasted almonds, Handcrafted by the Master Chocolatiers of ITC. It has been created with premium ingredients in India to give you a sinful chocolaty thrill. Inspired by centre-filled desserts, this premium milk chocolate bar offers a magical experience.
Relax and unwind with a dessert-like experience in a chocolate bar. Gift your loved ones this beautifully packaged premium centre-filled milk chocolate to make the occasion even more special. Embark on a magical experience as you bite into the milk chocolate shells to discover the rich, velvety almond mousse with hints of roasted almond bits that brings alive the multi-sensorial experience of this artisanal milk chocolate bar. This irresistible chocolate bar is perfect as a mid-day/ post-dinner indulgence or as a cure for the Monday blues. Elevate your Sweet Moments with Fabelle's chocolates."
4248,Soft Centres Chocolate - Choco Mousse,Snacks & Branded Foods,Chocolates & Candies,Fabelle,76.0,80.0,https://www.bigbasket.com/media/uploads/p/mm/40153802_7-fabelle-soft-centres-chocolate-choco-mousse.jpg,https://www.bigbasket.com/pd/40153802/fabelle-soft-centres-chocolate-choco-mousse-59-g/,Chocolates,Invalid Code,4.5,"Break the milk chocolate shell to discover the luxurious choco mousse, Fabelle Soft Centres – Choco Mousse has been inspired by center-filled desserts. Expertly crafted by Master Chocolatiers from the House of ITC, these premium milk chocolate bars have been created with premium ingredients in India. It gives you 4 reasons to indulge in them; Awaken Your Senses,  Feel the smooth and silky texture of the chocolate. Listen to the distinct snap as you break a piece of this chocolate bar. 
Relax and unwind with a dessert-like experience in a chocolate bar. Gift your loved ones this beautifully packaged premium centre-filled milk chocolate to make the occasion even more special. From selecting the highest-quality ingredients to creating every piece of chocolate, these chocolates have been designed to give you a sinful chocolaty thrill."
4249,White Xylitol Sugarfree Spearmint Flavour Chewing Gum Pocket Bottle,Snacks & Branded Foods,Chocolates & Candies,Happydent ,50.0,50.0,https://www.bigbasket.com/media/uploads/p/mm/40016429_8-happydent-white-xylitol-sugarfree-spearmint-flavour-chewing-gum-pocket-bottle.jpg,https://www.bigbasket.com/pd/40016429/happydent-white-xylitol-sugarfree-spearmint-flavour-chewing-gum-pocket-bottle-25-pcs-pocket-bottle/,Mints & Chewing Gum,8901393018905,4.3,"Happydent White Xylitol; a Sugar-free functional gum, for whiter and brighter teeth. Happydent White is a proprietary Ayurvedic medicine with active ingredients so experience the benefit of Ayurveda with long-lasting freshness.
The smooth and refreshing flavour of sugar-free Happydent provides instant cool breath and a perfect clean mouth that prepares you to make the most of the moment. The easy to carry, pocket bottle pack allows you to enjoy the crisp, smooth flavour with fewer calories, anywhere. Keep a pack in the pocket, car, or a drawer for instant minty refreshment anytime
Happydent is a globally renowned brand, enjoyed by millions of people around the world. Whether it’s the icy cool taste of traditional mint, or something fun and fruity, you can always count on a clean and refreshing feeling of Happydent.
Grab your pack now and impress everyone with your sparkling smiles!
*Contains Aspartame and Polyols that may have laxative effects. Dosage: 1-2 tablets/ 3-4 times a day, preferably after meals or as and when required"
4250,"Juzt Jelly - Assorted Flavour, Cars & Planes",Snacks & Branded Foods,Chocolates & Candies,ALPENLIEBE,30.0,30.0,https://www.bigbasket.com/media/uploads/p/mm/40189096_1-alpenliebe-juzt-jelly-assorted-flavour-cars-planes.jpg,https://www.bigbasket.com/pd/40189096/alpenliebe-juzt-jelly-assorted-flavour-cars-planes-745-g-pouch/,"Toffee, Candy & Lollypop",Invalid Code,4.3,"Alpenliebe Juzt Jelly cars n planes - Family Mein Masti Chali! Irresistible sugar sanded cars n planes-shaped jelly in assorted flavour. Experience goodness of fruit, with 25% Fruit Pulp in the form of tasty & soft jelly! These adorable looking jellies can be consumed by kids and grown-ups alike. Surprise your kids with these attractive jellies by packing some in their tiffin. What's more? Juzt Jellies can be used as an ingredient for more interesting and enticing desserts like cakes, ice-creams, shakes, muffins etc."
4251,Pure Fresh Sugarfree Mint Flavour Chewing Gum,Snacks & Branded Foods,Chocolates & Candies,Mentos,100.0,100.0,https://www.bigbasket.com/media/uploads/p/mm/40107653_5-mentos-pure-fresh-sugarfree-mint-flavour-chewing-gum.jpg,https://www.bigbasket.com/pd/40107653/mentos-pure-fresh-sugarfree-mint-flavour-chewing-gum-546-g-bottle/,Mints & Chewing Gum,Invalid Code,4.3,"Mentos Pure Fresh - Who says no to Mentos Refreshing sugar-free chewing gum that is crunchy outside and chewy inside. Mentos helps in connecting with people. With its the perfect balance of sweetness and mint, Mentos has become popular worldwide. Pop one of these for instant cool breath and make the most of the moment.Get an instant splash of refreshing mint flavoured liquid. What else? It is sugar-free and with natural green tea extract Keep this trendy bottle pack in the pocket, car, or a drawer for instant minty refreshment anytime."
